"cancer","n_signif","herit_signif","# of discoveries","# of discoveries (lowCI)","# of discoveries (upCI)","heritability explained","heritability explained (lowCI)","heritability explained (upCI)","total heritability"
"CLL","20","0.55885461762505","16.1629340291898","8","29","0.527055780701481","0.310478699803495","0.833837490428441","1.6250343703597"
"Esophageal","1","0.0124329104909948","0.21714969010426","0","5","0.000651452762716466","9.61093749046554e-06","0.0318315458954719","1.24290291901067"
"Testicular","38","0.90756875904144","43.7762158274794","28","79","1.10221447946563","0.806680901454101","1.58948727581921","2.80342324140873"
"Oropharyngeal","0","0","0.0570051130562746",NA,NA,"8.90715173176767e-05",NA,NA,"0.683085505612654"
"Pancreas","11","0.128263468520604","11.1575185732619","5","25","0.130546216078204","0.0659228231998907","0.24242091465394","0.596304939009708"
"Renal","16","0.116123456422061","11.9939210652469","5","28","0.096621914425641","0.0521355870792036","0.172088227566024","0.565689319726297"
"Glioma","33","0.487916028404792","21.6870651834545","13","35","0.438178369445739","0.327046678578339","0.554136923304164","0.874252693419442"
"Melanoma","26","0.265421455366215","27.8540075148981","16","48.025","0.271701543431401","0.199965459911609","0.360051690934495","0.650217961325091"
"Colorectal","8","0.0387383012773802","8.3767044901943","3","19","0.0323166030414144","0.0138798104852491","0.0775662444750904","0.428933011632963"
"Endometrial","13","0.0469105213794177","12.2569019449908","5","34","0.0502613884866733","0.0257478696677581","0.117136692538239","0.271010225980776"
"Ovarian","12","0.0559004987373841","15.5862379753539","7","34.025","0.0694608575299282","0.0375304204758482","0.124208283330428","0.2409633723125"
"Lung","15","0.0655526979749378","8.31088294925434","3","18","0.056350792227727","0.0399464836454092","0.0840448077426634","0.391385951995312"
"Prostate","144","0.391944637035715","126.956778914961","102","169","0.367062595305403","0.327980098976986","0.412008726698583","0.771653176864583"
"Breast","169","0.277707639513969","149.463094866726","120","192","0.26589518100235","0.23794390606423","0.291323645360647","0.602171401558891"
